total_aod 550mb|0.1,0.2,0.4,0.8,1.2,2.5,5.0,9.0|#0000FF,#0077FF,#00FF00,#FFFF00,#FFAA00,#FF0000,#AA0000
sulfate_aod 550mb|0.1,0.2,0.4,0.8,1.2,2.5,5.0,9.0|#0000FF,#0077FF,#00FF00,#FFFF00,#FFAA00,#FF0000,#AA0000
smoke_aod 550mb|0.1,0.2,0.4,0.8,1.2,2.5,5.0,9.0|#0000FF,#0077FF,#00FF00,#FFFF00,#FFAA00,#FF0000,#AA0000
seasalt_aod 550mb|0.1,0.2,0.4,0.8,1.2,2.5,5.0,9.0|#0000FF,#0077FF,#00FF00,#FFFF00,#FFAA00,#FF0000,#AA0000
dust_aod 550mb|0.1,0.2,0.4,0.8,1.2,2.5,5.0,9.0|#0000FF,#0077FF,#00FF00,#FFFF00,#FFAA00,#FF0000,#AA0000
ocd_part_w550 550mb|0.1,0.2,0.4,0.8,1.2,2.5,5.0,9.0|#0000FF,#0077FF,#00FF00,#FFFF00,#FFAA00,#FF0000,#AA0000
ocd_abf_w550 550mb|0.1,0.2,0.4,0.8,1.2,2.5,5.0,9.0|#0000FF,#0077FF,#00FF00,#FFFF00,#FFAA00,#FF0000,#AA0000
ocd_frp_w550 550mb|0.1,0.2,0.4,0.8,1.2,2.5,5.0,9.0|#0000FF,#0077FF,#00FF00,#FFFF00,#FFAA00,#FF0000,#AA0000
ocd_sslt_w550 550mb|0.1,0.2,0.4,0.8,1.2,2.5,5.0,9.0|#0000FF,#0077FF,#00FF00,#FFFF00,#FFAA00,#FF0000,#AA0000
ocd_dust_w550 550mb|0.1,0.2,0.4,0.8,1.2,2.5,5.0,9.0|#0000FF,#0077FF,#00FF00,#FFFF00,#FFAA00,#FF0000,#AA0000
blackcarbon_aod 550mb|0.1,0.2,0.4,0.8,1.2,2.5,5.0,9.0|#0000FF,#0077FF,#00FF00,#FFFF00,#FFAA00,#FF0000,#AA0000
organiccarbon_aod 550mb|0.1,0.2,0.4,0.8,1.2,2.5,5.0,9.0|#0000FF,#0077FF,#00FF00,#FFFF00,#FFAA00,#FF0000,#AA0000
frz_ht_zeroDegC_isotherm isth_lvl|0,6000|#0000FF,#0077FF,#00FF00,#FFFF00,#FFAA00,#FF0000,#AA0000
abs_vort_isobaric 1000|-0.0002,0.0002|#00AAFF,#FF0000
abs_vort_isobaric 925|-0.0002,0.0002|#00AAFF,#FF0000
abs_vort_isobaric 850|-0.0002,0.0002|#00AAFF,#FF0000
abs_vort_isobaric 700|-0.0002,0.0002|#00AAFF,#FF0000
abs_vort_isobaric 500|-0.0002,0.0002|#00AAFF,#FF0000
abs_vort_isobaric 300|-0.0002,0.0002|#00AAFF,#FF0000
abs_vort_isobaric 200|-0.0002,0.0002|#00AAFF,#FF0000
abs_vort_isobaric 150|-0.0002,0.0002|#00AAFF,#FF0000
air_temp_isobaric 1000|-36,42|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
air_temp_isobaric 925|-36,40|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
air_temp_isobaric 850|-35,32|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
air_temp_isobaric 700|-36,16|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
air_temp_isobaric 500|-47,0|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
air_temp_isobaric 300|-66,-30|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
air_temp_isobaric 200|-71,-35|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
air_temp_isobaric 150|-72,-40|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
dwpt_dprs_isobaric 1000|0,140|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
dwpt_dprs_isobaric 925|0,139|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
dwpt_dprs_isobaric 850|0,130|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
dwpt_dprs_isobaric 700|0,120|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
dwpt_dprs_isobaric 500|0,110|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
dwpt_dprs_isobaric 300|0,80|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
dwpt_dprs_isobaric 200|0,75|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
dwpt_dprs_isobaric 150|0,70|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
geop_ht_isobaric 1000|-300,350|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
geop_ht_isobaric 925|320,950|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
geop_ht_isobaric 850|1000,1700|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
geop_ht_isobaric 700|2400,3300|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
geop_ht_isobaric 500|4800,6000|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
geop_ht_isobaric 300|8000,9800|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
geop_ht_isobaric 200|10700,12600|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
geop_ht_isobaric 150|12500,14500|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
rltv_hum_isobaric 1000|0,100|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
rltv_hum_isobaric 925|0,100|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
rltv_hum_isobaric 850|0,100|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
rltv_hum_isobaric 700|0,100|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
rltv_hum_isobaric 500|0,100|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
rltv_hum_isobaric 300|0,100|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
rltv_hum_isobaric 200|0,100|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
rltv_hum_isobaric 150|0,100|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
wnd_vert_vel_isobaric 1000|-2,2|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
wnd_vert_vel_isobaric 925|-2.5,2.5|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
wnd_vert_vel_isobaric 850|-3,3.5|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
wnd_vert_vel_isobaric 700|-4.5,4.5|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
wnd_vert_vel_isobaric 500|-2,2|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
wnd_vert_vel_isobaric 300|-1.5,2.5|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
wnd_vert_vel_isobaric 200|-1,1|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
wnd_vert_vel_isobaric 150|-0.5,0.5|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
sky_cvr sky_cvr|0,100|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
ttl_prcp_surface_6_Hour_Accumulation surface|0,100|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
grnd_sea_temp_surface surface|-50,75|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
cape_surface surface|0,6050|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
dwpt_dprs_surface surface|0,100|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000
prcp_h2o_surface surface|0,100|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
pres_surface surface|500,1200|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
wnd_spd 1000|-30,40|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
wnd_spd 925|-30,40|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
wnd_spd 850|-30,40|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
wnd_spd 700|-30,40|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
wnd_spd 500|-30,40|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
wnd_spd 300|-30,40|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
wnd_spd 200|-30,40|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
wnd_spd 150|-30,40|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
peak_wnd_spd_surface surface|1,100|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
ttl_cld_cvr_sky_cvr sky_cvr|0,100|#eeeeFF,#0000FF
ttl_cld_cvr_low_cld low_cld|0,100|#eeeeFF,#0000FF
ttl_cld_cvr_mid_cld mid_cld|0,100|#eeeeFF,#0000FF
ttl_cld_cvr_hi_cld hi_cld|0,100|#eeeeFF,#0000FF
Upward_long-wave_radiation_flux_atmosphere_top atms_top|101,350|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
AOT_Merged satellite|-0.5,3|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
AOT_Pure satellite|-0.5,3|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
AOT_Merged_uncertainty satellite|-0.5,3|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
AOT_Pure_uncertainty satellite|-0.5,3|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
AE_Merged satellite|-0.5,3|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
AE_Pure satellite|-0.5,3|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
AOT_L2_Mean satellite|-0.5,3|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
AOT_L2_SDV satellite|-0.5,3|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
AOT_L2_Num satellite|-0.5,3|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
AE_L2_Mean satellite|-0.5,3|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
AE_L2_SDV satellite|-0.5,3|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
AE_L2_Num satellite|-0.5,3|#0000FF,#0077FF,#FFFF00,#FFAA00,#FF0000,#AA0000
